,id,open,close,low,high,amount,vol,count
186,2018-02-03 00:00:00,32.0,30.36,26.76,32.5,219110.02956413478,6557656.038417302,24314.0
187,2018-02-02 00:00:00,36.0,31.91,24.18,36.82,521372.04759439215,15378017.619363638,30996.0
188,2018-02-01 00:00:00,37.06,36.0,35.2,41.35,452201.65410399745,17421235.413138293,22926.0
189,2018-01-31 00:00:00,38.28,37.06,33.96,39.0,224595.52922773818,8311452.03866328,15345.0
190,2018-01-30 00:00:00,42.2,38.28,37.66,42.48,102345.44503281369,4112062.8664276754,10740.0
191,2018-01-29 00:00:00,42.3,42.21,40.91,44.35,125221.6370520964,5324639.16151182,11422.0
192,2018-01-28 00:00:00,39.77,42.3,39.02,43.0,123200.48927206457,5053696.197427858,12493.0
193,2018-01-27 00:00:00,39.58,39.79,38.0,40.8,98044.4221791469,3849257.812687593,9378.0
194,2018-01-26 00:00:00,40.14,39.58,35.61,41.65,189500.44260489757,7364474.663706958,16017.0
195,2018-01-25 00:00:00,39.5,40.23,38.75,42.18,181487.8934671158,7374517.321090705,16392.0
196,2018-01-24 00:00:00,39.02,39.52,36.81,42.0,216689.72961430336,8596306.304580742,19424.0
197,2018-01-23 00:00:00,37.07,39.0,35.63,40.5,215721.80643720686,8231772.092526943,16246.0
198,2018-01-22 00:00:00,43.15,37.07,36.5,43.8,325382.7824424113,13409942.232452957,23854.0
199,2018-01-21 00:00:00,43.8,43.25,42.0,52.49,670222.0465424008,31393378.93813072,37190.0
200,2018-01-20 00:00:00,38.76,43.8,37.09,45.8,295240.9866953169,12247281.461373704,19013.0
201,2018-01-19 00:00:00,38.44,39.0,35.0,41.22,325693.5008249112,12427979.079027768,22320.0
202,2018-01-18 00:00:00,27.32,38.42,27.32,38.89,529834.7834634461,18614643.83140714,28639.0
203,2018-01-17 00:00:00,42.21,27.28,24.69,42.22,668602.76813233,21487131.476542912,38217.0
204,2018-01-16 00:00:00,54.15,42.29,35.64,54.55,416081.8259512455,18745547.660848476,28403.0
205,2018-01-15 00:00:00,47.77,54.15,47.01,57.35,566682.7632264744,30520499.243938178,30694.0
